OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-02086920,"FALLS LAKE AT INTERSTATE 85 NEAR REDWOOD, NC","Lake, Reservoir, Impoundment",,03020201,512,sq mi,,,36.06972220000000,-78.7791667000000,,1,seconds,Reported.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02087000,"NEUSE RIVER NEAR NORTHSIDE, NC",Stream,,03020201,535.00,sq mi,,,36.04847905000000,-78.7494493000000,,1,seconds,Interpolated from MAP.,NAD83,225.91,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208700712,"LITTLE LICK CR AT SR1815 AT OAK GROVE, NC",Stream,,03020201,5.99,sq mi,,,35.98416667000000,-78.8197222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208700780,"LITTLE LICK CR AB SR1814 NR OAK GROVE, NC",Stream,,03020201,10.1,sq mi,,,35.98653460000000,-78.7991726000000,,1,seconds,Interpolated from MAP.,NAD83,265.00,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209722970,"SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC",Stream,,03030002,4.67,sq mi,,,35.98322220000000,-78.9568056000000,,1,seconds,Interpolated from Digital MAP.,NAD83,266.0,feet,.12,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097280,"THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS, NC",Stream,,03030002,14.79,sq mi,,,35.92263889000000,-78.9524167000000,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097314,"NEW HOPE CREEK NEAR BLANDS, NC",Stream,,03030002,75.9,sq mi,,,35.88500000000000,-78.9652778000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,214.37,feet,.07,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209741600,"NORTHEAST CR AT RESEARCH TRIANGLE PARK, NC",Stream,,03030002,,,,,35.88681370000000,-78.8997302000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097419,"NORTHEAST CREEK NEAR NELSON, NC",Stream,,03030002,,,,,35.87514730000000,-78.9066747000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209741955,"NORTHEAST CREEK AT SR1100 NR GENLEE, NC",Stream,,03030002,21.1,sq mi,,,35.87222220000000,-78.9130556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,228,feet,.06,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-355251078534800,DURHAM STP EFFLUENT,Facility: Outfall,,03030002,,,,,35.88098060000000,-78.8963968000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-355912078485300,LITTLE LICK PACKAGE PLANT EFFLUENT,Facility: Outfall,,03020201,,,,,35.98681214000000,-78.8144507000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360141078515500,NE DURHAM STP EFFLUENT,Facility: Outfall,,03020201,,,,,36.02819969000000,-78.8650071800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360149078514801,DR-073 ELLERBE LB-1 0.18 MI BL SR1669 NR WEAVER NC,Well: Hyporheic-zone well,,03020201,,,,,36.03027778000000,-78.8633333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,Surficial aquifer system,Quaternary Alluvium,Unconfined single aquifer,20160802,0.5,ft,0.5,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360158078514201,DR-076 ELLERBE RB-4 0.35 MI BL SR1669 NR WEAVER NC,Well,,03020201,,,,,36.03277778000000,-78.8616667000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,277,feet,1,feet,Reported method of determination.,NAVD88,US,37,063,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360159078513801,"DR-081 (MW-10) NEAR WEAVER, NC (REGOLITH)",Well,,03020201,,,,,36.03305556000000,-78.8605556000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,279.70,feet,.01,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,063,Surficial aquifer system,Regolith,Unconfined single aquifer,20080820,14.5,ft,14.5,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360159078514101,DR-074 ELLERBE RB-2 0.40 MI BL SR1669 NR WEAVER NC,Well: Hyporheic-zone well,,03020201,,,,,36.03305556000000,-78.8613888900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,Surficial aquifer system,Quaternary Alluvium,Unconfined single aquifer,20160802,0.5,ft,0.5,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360204078513901,DR-075 ELLERBE RB-3 0.51 MI3BL SR1669 NR WEAVER NC,Well: Hyporheic-zone well,,03020201,,,,,36.03444444000000,-78.8608333000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,063,Surficial aquifer system,Quaternary Alluvium,Unconfined single aquifer,20160802,0.5,ft,0.5,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360204078513902,DR-079 ELLERBE PZBK 0.51 MI BL SR1669 NR WEAVER NC,Well: Hyporheic-zone well,,03020201,,,,,36.03444444000000,-78.8608333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,271.2,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,063,Surficial aquifer system,Quaternary Alluvium,Unconfined single aquifer,20171129,3.4,ft,3.4,ft,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-360204078513903,DR-080 ELLERBE PZST 0.51 MI BL SR1669 NR WEAVER NC,Well: Hyporheic-zone well,,03020201,,,,,36.03444444000000,-78.8608333000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,268.,feet,0.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,063,Surficial aquifer system,Quaternary Alluvium,Unconfined single aquifer,20171129,5.5,ft,5.5,ft,NWIS
