agency_,cd       site_no,datetime,104599_00060_00003,104599_00060_00003_cd,Month,Day ,Year,Date
USGS,1303500,4/4/51,2.23,A,4,4,51,04/04/1951
USGS,1303500,4/5/51,1.68,A,4,5,51,04/05/1951
USGS,1303500,4/6/51,1.47,A,4,6,51,04/06/1951
USGS,1303500,4/7/51,1.35,A,4,7,51,04/07/1951
USGS,1303500,4/8/51,1.28,A,4,8,51,04/08/1951
USGS,1303500,4/9/51,1.24,A,4,9,51,04/09/1951
USGS,1303500,4/10/51,1.24,A,4,10,51,04/10/1951
USGS,1303500,4/11/51,1.18,A,4,11,51,04/11/1951
USGS,1303500,4/12/51,1.16,A,4,12,51,04/12/1951
USGS,1303500,4/13/51,1.18,A,4,13,51,04/13/1951
USGS,1303500,4/14/51,1.14,A,4,14,51,04/14/1951
USGS,1303500,4/15/51,1.14,A,4,15,51,04/15/1951
USGS,1303500,4/16/51,1.18,A,4,16,51,04/16/1951
USGS,1303500,4/17/51,1.24,A,4,17,51,04/17/1951
USGS,1303500,4/18/51,1.22,A,4,18,51,04/18/1951
USGS,1303500,4/19/51,1.16,A,4,19,51,04/19/1951
USGS,1303500,4/20/51,1.16,A,4,20,51,04/20/1951
USGS,1303500,4/21/51,1.14,A,4,21,51,04/21/1951
USGS,1303500,4/22/51,1.18,A,4,22,51,04/22/1951
USGS,1303500,4/23/51,1.9,A,4,23,51,04/23/1951
USGS,1303500,4/24/51,1.76,A,4,24,51,04/24/1951
USGS,1303500,4/25/51,1.42,A,4,25,51,04/25/1951
USGS,1303500,4/26/51,1.24,A,4,26,51,04/26/1951
USGS,1303500,4/27/51,1.14,A,4,27,51,04/27/1951
USGS,1303500,4/28/51,1.14,A,4,28,51,04/28/1951
USGS,1303500,4/29/51,1.13,A,4,29,51,04/29/1951
USGS,1303500,4/30/51,3.36,A,4,30,51,04/30/1951
USGS,1303500,5/1/51,6.5,A,5,1,51,05/01/1951
USGS,1303500,5/2/51,2.12,A,5,2,51,05/02/1951
USGS,1303500,5/3/51,1.38,A,5,3,51,05/03/1951
USGS,1303500,5/4/51,7.6,A,5,4,51,05/04/1951
USGS,1303500,5/5/51,3.32,A,5,5,51,05/05/1951
USGS,1303500,5/6/51,1.66,A,5,6,51,05/06/1951
USGS,1303500,5/7/51,1.5,A,5,7,51,05/07/1951
USGS,1303500,5/8/51,1.43,A,5,8,51,05/08/1951
USGS,1303500,5/9/51,1.43,A,5,9,51,05/09/1951
USGS,1303500,5/10/51,1.43,A,5,10,51,05/10/1951
USGS,1303500,5/11/51,1.75,A,5,11,51,05/11/1951
USGS,1303500,5/12/51,2.43,A,5,12,51,05/12/1951
USGS,1303500,5/13/51,1.94,A,5,13,51,05/13/1951
USGS,1303500,5/14/51,1.58,A,5,14,51,05/14/1951
USGS,1303500,5/15/51,1.45,A,5,15,51,05/15/1951
USGS,1303500,5/16/51,1.39,A,5,16,51,05/16/1951
USGS,1303500,5/17/51,1.38,A,5,17,51,05/17/1951
USGS,1303500,5/18/51,1.4,A,5,18,51,05/18/1951
USGS,1303500,5/19/51,1.55,A,5,19,51,05/19/1951
USGS,1303500,5/20/51,1.68,A,5,20,51,05/20/1951
USGS,1303500,5/21/51,1.76,A,5,21,51,05/21/1951
USGS,1303500,5/22/51,1.6,A,5,22,51,05/22/1951
USGS,1303500,5/23/51,1.56,A,5,23,51,05/23/1951
USGS,1303500,5/24/51,3.8,A,5,24,51,05/24/1951
USGS,1303500,5/25/51,2.85,A,5,25,51,05/25/1951
USGS,1303500,5/26/51,2.04,A,5,26,51,05/26/1951
USGS,1303500,5/27/51,1.89,A,5,27,51,05/27/1951
USGS,1303500,5/28/51,1.91,A,5,28,51,05/28/1951
USGS,1303500,5/29/51,1.84,A,5,29,51,05/29/1951
USGS,1303500,5/30/51,1.96,A,5,30,51,05/30/1951
USGS,1303500,5/31/51,1.84,A,5,31,51,05/31/1951
USGS,1303500,6/1/51,1.7,A,6,1,51,06/01/1951
USGS,1303500,6/2/51,1.5,A,6,2,51,06/02/1951
USGS,1303500,6/3/51,1.51,A,6,3,51,06/03/1951
USGS,1303500,6/4/51,1.6,A,6,4,51,06/04/1951
USGS,1303500,6/5/51,1.7,A,6,5,51,06/05/1951
USGS,1303500,6/6/51,1.72,A,6,6,51,06/06/1951
USGS,1303500,6/7/51,1.66,A,6,7,51,06/07/1951
USGS,1303500,6/8/51,1.6,A,6,8,51,06/08/1951
USGS,1303500,6/9/51,1.56,A,6,9,51,06/09/1951
USGS,1303500,6/10/51,1.56,A,6,10,51,06/10/1951
USGS,1303500,6/11/51,1.56,A,6,11,51,06/11/1951
USGS,1303500,6/12/51,1.6,A,6,12,51,06/12/1951
USGS,1303500,6/13/51,1.66,A,6,13,51,06/13/1951
USGS,1303500,6/14/51,2.1,A,6,14,51,06/14/1951
USGS,1303500,6/15/51,2.14,A,6,15,51,06/15/1951
USGS,1303500,6/16/51,1.88,A,6,16,51,06/16/1951
USGS,1303500,6/17/51,1.74,A,6,17,51,06/17/1951
USGS,1303500,6/18/51,1.66,A,6,18,51,06/18/1951
USGS,1303500,6/19/51,1.52,A,6,19,51,06/19/1951
USGS,1303500,6/20/51,1.5,A,6,20,51,06/20/1951
USGS,1303500,6/21/51,1.46,A,6,21,51,06/21/1951
USGS,1303500,6/22/51,1.52,A,6,22,51,06/22/1951
USGS,1303500,6/23/51,1.78,A,6,23,51,06/23/1951
USGS,1303500,6/24/51,1.84,A,6,24,51,06/24/1951
USGS,1303500,6/25/51,1.74,A,6,25,51,06/25/1951
USGS,1303500,6/26/51,1.68,A,6,26,51,06/26/1951
USGS,1303500,6/27/51,1.56,A,6,27,51,06/27/1951
USGS,1303500,6/28/51,1.58,A,6,28,51,06/28/1951
USGS,1303500,6/29/51,1.8,A,6,29,51,06/29/1951
USGS,1303500,6/30/51,1.96,A,6,30,51,06/30/1951
USGS,1303500,7/1/51,1.9,A,7,1,51,07/01/1951
USGS,1303500,7/2/51,1.82,A,7,2,51,07/02/1951
USGS,1303500,7/3/51,1.74,A,7,3,51,07/03/1951
USGS,1303500,7/4/51,1.7,A,7,4,51,07/04/1951
USGS,1303500,7/5/51,1.68,A,7,5,51,07/05/1951
USGS,1303500,7/6/51,1.62,A,7,6,51,07/06/1951
USGS,1303500,7/7/51,1.56,A,7,7,51,07/07/1951
USGS,1303500,7/8/51,1.54,A,7,8,51,07/08/1951
USGS,1303500,7/9/51,1.56,A,7,9,51,07/09/1951
USGS,1303500,7/10/51,1.52,A,7,10,51,07/10/1951
USGS,1303500,7/11/51,1.5,A,7,11,51,07/11/1951
USGS,1303500,7/12/51,1.48,A,7,12,51,07/12/1951
USGS,1303500,7/13/51,1.46,A,7,13,51,07/13/1951
USGS,1303500,7/14/51,1.42,A,7,14,51,07/14/1951
USGS,1303500,7/15/51,1.42,A,7,15,51,07/15/1951
USGS,1303500,7/16/51,1.4,A,7,16,51,07/16/1951
USGS,1303500,7/17/51,1.5,A,7,17,51,07/17/1951
USGS,1303500,7/18/51,1.56,A,7,18,51,07/18/1951
USGS,1303500,7/19/51,1.58,A,7,19,51,07/19/1951
USGS,1303500,7/20/51,1.72,A,7,20,51,07/20/1951
USGS,1303500,7/21/51,1.56,A,7,21,51,07/21/1951
USGS,1303500,7/22/51,1.38,A,7,22,51,07/22/1951
USGS,1303500,7/23/51,1.42,A,7,23,51,07/23/1951
USGS,1303500,7/24/51,1.48,A,7,24,51,07/24/1951
USGS,1303500,7/25/51,1.42,A,7,25,51,07/25/1951
USGS,1303500,7/26/51,1.38,A,7,26,51,07/26/1951
USGS,1303500,7/27/51,1.44,A,7,27,51,07/27/1951
USGS,1303500,7/28/51,3.98,A,7,28,51,07/28/1951
USGS,1303500,7/29/51,2.84,A,7,29,51,07/29/1951
USGS,1303500,7/30/51,2.1,A,7,30,51,07/30/1951
USGS,1303500,7/31/51,1.82,A,7,31,51,07/31/1951
USGS,1303500,8/1/51,1.68,A,8,1,51,08/01/1951
USGS,1303500,8/2/51,1.66,A,8,2,51,08/02/1951
USGS,1303500,8/3/51,1.54,A,8,3,51,08/03/1951
USGS,1303500,8/4/51,1.48,A,8,4,51,08/04/1951
USGS,1303500,8/5/51,1.56,A,8,5,51,08/05/1951
USGS,1303500,8/6/51,1.5,A,8,6,51,08/06/1951
USGS,1303500,8/7/51,1.42,A,8,7,51,08/07/1951
USGS,1303500,8/8/51,1.52,A,8,8,51,08/08/1951
USGS,1303500,8/9/51,1.58,A,8,9,51,08/09/1951
USGS,1303500,8/10/51,1.62,A,8,10,51,08/10/1951
USGS,1303500,8/11/51,1.82,A,8,11,51,08/11/1951
USGS,1303500,8/12/51,2,A,8,12,51,08/12/1951
USGS,1303500,8/13/51,3.1,A,8,13,51,08/13/1951
USGS,1303500,8/14/51,2.04,A,8,14,51,08/14/1951
USGS,1303500,8/15/51,1.64,A,8,15,51,08/15/1951
USGS,1303500,8/16/51,1.52,A,8,16,51,08/16/1951
USGS,1303500,8/17/51,1.64,A,8,17,51,08/17/1951
USGS,1303500,8/18/51,1.56,A,8,18,51,08/18/1951
USGS,1303500,8/19/51,1.46,A,8,19,51,08/19/1951
USGS,1303500,8/20/51,1.44,A,8,20,51,08/20/1951
USGS,1303500,8/21/51,1.46,A,8,21,51,08/21/1951
USGS,1303500,8/22/51,1.57,A,8,22,51,08/22/1951
USGS,1303500,8/23/51,1.61,A,8,23,51,08/23/1951
USGS,1303500,8/24/51,1.54,A,8,24,51,08/24/1951
USGS,1303500,8/25/51,1.97,A,8,25,51,08/25/1951
