"BARCODE","GRID","DATE","PROJCODE","FIELDSTA","HABCLASS","RM","SUB","ZONE15","EUTM15","NUTM15","EMTCZONE","EUTMEMTC","NUTMEMTC","FLDZONE","EFIELD","NFIELD","PDOP","DEPTH","NOCONT","REPA","REPB","REPC","SUMCODE","GEAR","LAB","SUBSAMPL","SUBANDFL","SUBSTRAT","SHELLS","DETRITUS","FINEORG","SUBMERSE","FLOATING","EMERGENT","OPEN","MAYFLIES","FNC","CORBICUL","MIDGES","ZEBRA","DRAGON","STONE","CADDIS","FLIES","MUSSELS","WORMS","SHRIMP","SCUDS","SNAILS","COMMENTS","RCDCODE","ENT_OPTR","VRF_OPTR","BATCH"
"21001596","96","05/06/2002","M-","1","TDL","775.5","N","15","555829","4926108","15","555829","4926108","","","","1.0","9.3","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","1","2","0","1","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001597","97","05/06/2002","M-","1","TDL","774.5","N","15","558029","4925308","15","558029","4925308","","","","1.2","","1","","","","1","P","Y","","0","2","0","0","N","0","0","0","4","0","1","0","7","0","A","A","A","P","A","P","A","A","A","","955","","","2201"
"21001598","98","05/06/2002","M-","1","TDL","774","N","15","558429","4924708","15","558429","4924708","","","","0.9","9.1","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","4","0","6","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001599","99","05/06/2002","M-","1","TDL","774.2","N","15","557441","4924221","15","557429","4924308","15","557441","4924221","0.9","10.0","","","","","1","P","N","","0","2","1","1","N","0","0","0","4","1","12","0","23","0","A","A","A","A","A","P","A","A","A","WINDY CONDITIONS BOAT POSITIONING AFFECTED BY WIND","955","","","2201"
"21001601","101","05/06/2002","M-","1","TDL","773.8","N","15","557646","4923466","15","557629","4923508","15","557646","4923466","2.0","9.2","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","2","0","2","0","A","A","A","A","A","P","A","A","A","WINDY CONDITIONS  BOAT POSITIONING AFFECTED","955","","","2201"
"21001603","103","05/06/2002","M-","1","TDL","773.5","N","15","557829","4923308","15","557829","4923308","","","","1.0","9.2","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","4","0","2","0","A","A","A","A","A","P","A","A","A","WINDY CONDITIONS","955","","","2201"
"21001605","105","05/06/2002","M-","1","TDL","773.5","N","15","557429","4923108","15","557429","4923108","","","","0.9","6.8","1","","","","1","P","Y","","0","2","2","0","N","0","0","0","4","1","2","0","8","0","A","A","A","A","A","P","A","A","A","GRAVEL AND ROCK PRESENT  DEAD UNIONID SHELL PRESENT","955","","","2201"
"21001622","501","05/06/2002","M-","1","TDL","774.3","N","15","557435","4924530","15","557434","4924530","","","","1.0","12.0","","","","","1","P","N","","0","2","1","1","N","0","0","0","4","0","9","0","10","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001505","5","05/07/2002","M-","1","SC","792.5","N","15","536579","4937108","15","536579","4937108","","","","1.0","3.9","","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","SMALL SIZE GRAVEL PRESENT UP TO 3MM","955","","","2201"
"21001506","6","05/07/2002","M-","1","SC","790","N","15","537929","4935458","15","537929","4935458","","","","1.3","1.9","","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001507","7","05/07/2002","M-","1","SC","787.3","N","15","541979","4935308","15","541979","4935308","","","","1.0","3.3","","","","","1","P","N","","0","1","0","2","N","0","0","0","4","6","0","0","1","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001512","12","05/07/2002","M-","1","BWC","792.5","N","15","537129","4937258","15","537129","4937258","","","","1.1","1.4","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","0","0","12","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001513","13","05/07/2002","M-","1","BWC","787","N","15","542729","4936258","15","542729","4936258","","","","1.1","1.4","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","2","0","0","7","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001514","14","05/07/2002","M-","1","BWC","787","N","15","542426","4935793","15","542429","4935808","15","542426","4935793","0.9","2.0","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","9","4","0","6","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001515","15","05/07/2002","M-","1","BWC","786.9","N","15","542729","4935608","15","542729","4935608","","","","1.0","1.9","","","","","1","P","N","","0","2","0","4","N","0","0","0","4","8","2","0","2","0","A","A","A","A","A","A","A","A","A","MIDGES PRESENT BUT UNDER SIZE","955","","","2201"
"21001516","16","05/07/2002","M-","1","BWC","787","N","15","542329","4935408","15","542329","4935408","","","","1.0","1.6","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","0","0","0","9","0","A","A","A","A","A","P","A","A","A","WINDY","955","","","2201"
"21001517","17","05/07/2002","M-","1","BWC","786.8","N","15","542829","4935308","15","542829","4935308","","","","1.0","1.7","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","6","3","0","8","0","A","A","A","A","A","P","A","A","A","WINDY CONDITIONS","955","","","2201"
"21001518","18","05/07/2002","M-","1","BWC","785","N","15","545029","4933808","15","545029","4933808","","","","0.9","1.9","","","","","1","P","N","","0","2","1","0","N","0","0","0","4","29","6","0","3","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001519","19","05/07/2002","M-","1","BWC","788.6","N","15","539929","4936858","15","539929","4936858","","","","1.2","2.2","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001520","20","05/07/2002","M-","1","BWC","789.5","N","15","538779","4936058","15","538779","4936058","","","","1.0","1.0","","","","","1","P","N","","0","3","0","1","N","0","0","1","4","2","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001521","21","05/07/2002","M-","1","BWC","789.4","N","15","539079","4935908","15","539079","4935908","","","","0.9","1.6","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","23","5","0","1","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001522","22","05/07/2002","M-","1","BWC","788.5","N","15","539929","4935908","15","539929","4935908","","","","1.1","1.5","","","","","1","P","N","","0","3","1","3","N","0","0","1","4","0","0","0","0","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001523","23","05/07/2002","M-","1","BWC","788.4","N","15","540129","4935408","15","540129","4935408","","","","1.0","2.0","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","34","3","0","3","0","A","A","A","P","A","A","A","A","A","","955","","","2201"
"21001524","24","05/07/2002","M-","1","BWC","789.8","N","15","538379","4936608","15","538379","4936608","","","","1.5","2.1","","","","","1","P","N","","0","1","1","1","N","0","0","1","3","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001525","25","05/07/2002","M-","1","BWC","786.5","N","15","543229","4935558","15","543229","4935558","","","","0.9","1.5","","","","","1","P","N","","0","3","0","3","N","0","0","0","4","1","0","0","22","0","A","A","A","A","A","A","A","A","A","WINDY WITH RAIN","955","","","2201"
"21001526","26","05/07/2002","M-","1","BWC","787","N","15","541825","4936332","15","542429","4935258","15","541825","4936332","1.0","1.2","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","0","3","0","0","0","A","A","A","P","A","P","A","A","A","WINDY CONDTIONS  MAY HAVE AFFECTED BOAT POSITION","955","","","2201"
"21001566","66","05/07/2002","M-","1","TDL","786.3","N","15","543621","4935498","15","543629","4935508","15","543621","4935498","0.9","1.9","","","","","1","P","N","","0","1","1","1","N","0","0","0","4","15","6","0","3","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001572","72","05/07/2002","M-","1","MCB","796.2","N","15","531979","4939658","15","531979","4939658","","","","1.0","6.5","","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001577","77","05/07/2002","M-","1","SC","792.5","N","15","536879","4936858","15","536879","4936858","","","","1.0","2.7","","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001632","317","05/07/2002","M-","1","BWC","785.5","N","15","544574","4933939","15","544579","4933958","15","544574","4933939","1.2","1.9","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","51","10","0","4","0","A","A","A","A","A","A","A","A","A","317 ALTERNATE FOR 83 HANSEN HARBOR SITE. SITE PICKED TO AVOID CONFLICT W/ OWNER","955","","","2201"
"21001501","1","05/08/2002","M-","1","MCB","757.3","N","15","581241","4913422","15","581230","4913408","15","581241","4913422","0.8","3.1","","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","SWIFT CURRENT","955","","","2201"
"21001527","27","05/08/2002","M-","1","BWC","757","N","15","580930","4912658","15","580930","4912658","","","","1.2","0.5","","","","","1","P","N","","1","2","0","4","Y","0","0","0","4","0","0","0","0","0","A","A","A","P","A","P","A","A","A","","955","","","2201"
"21001528","28","05/08/2002","M-","1","BWC","757.0","N","15","579530","4911858","15","579530","4911858","","","","0.9","1.0","1","","","","1","P","Y","","0","2","0","2","N","0","0","0","4","2","0","0","24","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001543","43","05/08/2002","M-","1","BWC","757.4","N","15","580680","4913008","15","580680","4913008","","","","1.0","2.0","","","","","1","P","N","","0","4","1","1","N","0","0","0","4","0","1","0","11","3","A","A","A","A","P","P","A","A","A","GRAVEL AND ROCK ALSO PRESENT. YOUNG UNIONID PRESENT APROX. SIZE 4 TO 6 MM","955","","","2201"
"21001544","44","05/08/2002","M-","1","BWC","757.2","N","15","580580","4912758","15","580580","4912758","","","","1.0","1.2","","","","","1","P","N","","0","3","2","1","N","0","0","0","4","0","0","0","0","14","A","A","A","A","P","A","A","P","A","3 LARGE UNIONIDS PRESENT  ONE W/ ATTACHED ZEBRA MUSSELS","955","","","2201"
"21001545","45","05/08/2002","M-","1","BWC","757.6","N","15","579430","4912608","15","579430","4912608","","","","1.0","1.0","1","","","","1","P","Y","","0","3","1","3","N","0","0","0","4","0","0","0","19","0","A","P","A","A","A","A","A","A","A","SAND BAR JUST UPSTREAM OF SITE","955","","","2201"
"21001546","46","05/08/2002","M-","1","BWC","757.4","N","15","579830","4912558","15","579830","4912558","","","","0.8","1.0","1","","","","1","P","Y","","2","2","2","4","Y","0","0","0","4","0","0","0","2","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001547","47","05/08/2002","M-","1","BWC","757.4","N","15","579530","4912208","15","579530","4912208","","","","1.1","1.2","","","","","1","P","N","","1","2","1","3","N","0","0","0","4","0","0","0","44","0","P","A","A","A","A","P","A","A","A","BROKEN UNIONID SHELLS PRESENT","955","","","2201"
"21001548","48","05/08/2002","M-","1","BWC","757.1","N","15","579680","4912058","15","579680","4912058","","","","0.9","1.0","","","","","1","P","N","","1","2","1","2","N","0","0","0","4","0","0","0","20","0","A","A","A","A","A","P","A","P","A","ISOPODS PRESENT","955","","","2201"
"21001561","61","05/08/2002","M-","1","BWC","757","N","15","579830","4911958","15","579830","4911958","","","","1.0","0.8","","","","","1","P","N","","0","3","1","3","Y","0","0","0","4","0","0","0","7","0","A","A","A","A","P","A","A","A","A","","955","","","2201"
"21001562","62","05/08/2002","M-","1","BWC","757","N","15","579980","4911908","15","579980","4911908","","","","1.1","0.7","","","","","1","P","N","","1","2","0","4","Y","0","0","0","4","0","3","0","3","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001563","63","05/08/2002","M-","1","BWC","756.6","N","15","580580","4911708","15","580580","4911708","","","","1.1","0.8","","","","","1","P","N","","1","2","0","2","N","2","1","0","4","0","0","0","0","0","A","A","A","A","A","P","A","P","P","","955","","","2201"
"21001564","64","05/08/2002","M-","1","BWC","756","N","15","581380","4911508","15","581380","4911508","","","","2.1","1.0","","","","","1","P","N","","1","2","0","3","N","0","0","1","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001574","74","05/08/2002","M-","1","MCB","756.8","N","15","581953","4913216","15","581930","4913208","15","581953","4913216","0.9","4.9","","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","SWIFT CURRENT","955","","","2201"
"21001623","502","05/08/2002","M-","1","BWC","757.0","N","15","579564","4911799","15","579563","4911799","","","","0.9","1.0","","","","","1","P","N","","2","2","0","3","N","0","0","0","4","0","0","0","8","0","P","A","A","A","A","P","A","P","A","","955","","","2201"
"21001624","503","05/08/2002","M-","1","BWC","757","N","15","580026","4912148","15","580026","4912148","","","","0.8","1.1","","","","","1","P","N","","1","3","0","3","N","0","0","0","4","2","1","0","53","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001550","50","05/09/2002","M-","1","BWC","753.5","N","15","584280","4908708","15","584280","4908708","","","","1.0","2.0","","","","","1","P","N","","0","2","1","1","N","0","0","0","4","2","0","0","2","0","A","A","A","A","P","P","A","A","A","WINDY CONDITIONS 25 TO 30 MPH","955","","","2201"
"21001551","51","05/09/2002","M-","1","BWC","753.3","N","15","584880","4908658","15","584880","4908658","","","","0.9","1.4","","","","","1","P","N","","0","4","1","1","N","1","0","0","4","0","1","0","0","70","A","A","A","A","P","P","A","P","A","","955","","","2201"
"21001582","82","05/09/2002","M-","1","BWC","753.2","N","15","584480","4908408","15","584480","4908408","","","","1.5","3.8","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","4","2","0","7","0","A","A","A","A","A","P","A","A","P","WINDY","955","","","2201"
"21001625","504","05/09/2002","M-","1","BWC","753.5","N","15","583989","4908736","15","583989","4908736","","","","0.9","4.2","","","","","1","P","N","","0","2","1","1","N","0","0","0","4","8","2","0","1","0","A","A","A","A","P","A","A","A","A","","955","","","2201"
"21001600","100","05/10/2002","M-","1","TDL","773.0","N","15","559629","4923908","15","559629","4923908","","","","0.9","8.6","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","6","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001602","102","05/10/2002","M-","1","TDL","772.9","N","15","559655","4923517","15","559629","4923508","15","559655","4923517","1.2","9.9","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","7","0","0","0","A","A","A","A","A","P","A","A","A","WIND PICKED UP APROX. 15-20MPH.  MAY HAVE AFFECTED BOAT POSITION","955","","","2201"
"21001604","104","05/10/2002","M-","1","TDL","773.0","N","15","559229","4923308","15","559229","4923308","","","","1.0","9.6","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","3","0","0","0","A","A","A","A","A","A","A","A","A","1 MIDGE UNDERSIZE","955","","","2201"
"21001606","106","05/10/2002","M-","1","TDL","772.7","N","15","559429","4922908","15","559429","4922908","","","","1.1","9.8","1","","","","1","P","Y","","0","2","0","0","N","0","0","0","4","0","0","0","2","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001607","107","05/10/2002","M-","1","TDL","772.7","N","15","559629","4922908","15","559629","4922908","","","","1.1","9.7","","","","","1","P","N","","0","2","1","0","N","0","0","0","0","0","4","0","2","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001608","108","05/10/2002","M-","1","TDL","771.0","N","15","562229","4922108","15","562229","4922108","","","","1.1","8.8","","","","","1","P","N","","0","2","1","1","N","0","0","0","4","0","14","0","0","1","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001609","109","05/10/2002","M-","1","TDL","770.0","","15","563229","4921908","15","563229","4921908","","","","1.0","8.5","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","1","0","1","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001610","110","05/10/2002","M-","1","TDL","768.6","N","15","565229","4921108","15","565229","4921108","","","","0.8","8.5","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","6","0","1","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001611","111","05/10/2002","M-","1","TDL","768.5","N","15","565429","4920908","15","565429","4920908","","","","1.3","8.5","","","","","1","P","N","","0","2","0","1","N","0","0","0","4","0","9","0","1","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001612","112","05/10/2002","M-","1","TDL","767","N","15","567629","4920508","15","567629","4920508","","","","0.9","7.8","","","","","1","P","N","","0","2","1","1","N","0","0","0","4","2","10","0","6","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001613","113","05/10/2002","M-","1","TDL","770.8","N","15","561029","4920108","15","561029","4920108","","","","0.9","10.2","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","2","0","1","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001614","114","05/10/2002","M-","1","TDL","770.2","N","15","562047","4920107","15","562029","4920108","15","562047","4920107","1.0","9.9","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","3","0","3","0","A","A","A","A","P","A","A","A","A","","955","","","2201"
"21001615","115","05/10/2002","M-","1","TDL","768.3","N","15","565829","4920108","15","565829","4920108","","","","1.0","8.7","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","1","0","0","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001616","116","05/10/2002","M-","1","TDL","766.5","N","15","568649","4920119","15","568629","4920108","15","568649","4920119","1.0","7.2","","","","","1","P","N","","0","2","2","1","N","0","0","0","4","0","3","0","1","0","A","A","A","A","A","A","A","A","A","UNIONID SHELL PRESENT","955","","","2201"
"21001617","117","05/10/2002","M-","1","TDL","768.8","","15","565029","4919908","15","565029","4919908","","","","0.9","9.1","","","","","1","P","N","","0","2","","","N","0","0","0","4","0","3","0","2","0","A","A","A","A","P","A","A","A","A","","955","","","2201"
"21001618","118","05/10/2002","M-","1","TDL","766.7","","15","568229","4919708","15","568229","4919708","","","","1.1","8.1","","","","","1","P","N","","0","2","2","0","N","0","0","0","4","0","6","0","0","0","A","A","A","A","A","A","A","A","A","BROKEN SHELL","955","","","2201"
"21001619","119","05/10/2002","M-","1","TDL","766.0","N","15","569029","4919708","15","569029","4919708","","","","1.3","7.0","","","","","1","P","N","","0","2","1","0","N","0","0","0","4","1","4","0","1","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001620","120","05/10/2002","M-","1","TDL","767.9","N","15","566029","4919508","15","566029","4919508","","","","1.0","9.3","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","5","0","0","0","A","A","A","A","A","P","A","P","A","","955","","","2201"
"21001621","121","05/10/2002","M-","1","TDL","79.1","N","15","563829","4918708","15","563829","4918708","","","","1.3","11.2","","","","","1","P","N","","0","2","0","0","N","0","0","0","4","0","1","0","8","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001504","4","05/13/2002","M-","1","MCB","761","N","15","575929","4915858","15","575929","4915858","","","","1.1","3.0","","","","","1","P","N","","0","5","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","GRAVEL AND ROCK PRESENT","955","","","2201"
"21001509","9","05/13/2002","M-","1","SC","759.0","N","15","578680","4914058","15","578680","4914058","","","","1.0","3.9","","","","","1","P","N","","0","6","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","A","A","A","A","","955","","","2201"
"21001529","29","05/13/2002","M-","1","BWC","760.1","N","15","577679","4916058","15","577679","4916058","","","","1.5","2.1","","","","","1","P","N","","0","1","0","0","N","0","0","0","4","0","0","0","0","0","A","A","A","A","A","P","A","A","P","LARGER ROCK PRESENT. 1 UNDERSIZE MIDGE","955","","","2201"
"21001532","32","05/13/2002","M-","1","BWC","759.1","N","15","580329","4917058","15","580329","4917058","","","","1.0","2.3","1","","","","1","P","Y","","0","2","0","1","N","0","0","0","0","6","1","0","2","0","A","A","A","A","A","P","A","A","A","","955","","","2201"
"21001533","33","05/13/2002","M-","1","BWC","759.5","N","15","579329","4916658","15","579329","4916658","","","","1.1","1.0","","","","","1","P","N","","1","3","1","2","N","0","0","0","4","0","0","0","3","0","A","A","A","A","P","P","A","P","A","","955","","","2201"
"21001534","34","05/13/2002","M-","1","BWC","758.9","N","15","580680","4916008","15","580680","4916008","","","","1.0","1.6","1","","","","1","P","Y","","0","2","0","2","N","0","0","0","4","8","0","0","2","0","A","A","A","A","P","P","A","A","A","","955","","","2201"
